,name,projects_total,projects_completed
112,Raama Group and Empire Group,1 Project in Vadodara,
113,Shreeji Infrastructure,2 Projects in Vadodara,1 Completed
114,Shivalik Realty,1 Project in Vadodara,
115,Lotus Group,1 Project in Vadodara,
116,Katira Construction Ltd.,1 Project in Vadodara,
117,Mangalam Corporation,2 Projects in Vadodara,
118,Pavilion Heights,1 Project in Vadodara,
119,VHD Realty,1 Project in Vadodara,
120,Guruprasad Infrastructure Pvt. Ltd.,1 Project in Vadodara,1 Completed
121,Kamdhenu Infra,1 Project in Vadodara,
122,Anjani Developers,1 Project in Vadodara,
123,Shreeji Spacelinks Private Limited,1 Project in Vadodara,
124,NYSA Developers LLP,1 Project in Vadodara,
125,Shrimay Group,1 Project in Vadodara,
126,Aarna Buildtech,2 Projects in Vadodara,
127,Raamah Group,2 Projects in Vadodara,
128,Silverline Buildcon,1 Project in Vadodara,
129,Survi Infraspace LLP,1 Project in Vadodara,
130,Shree Gajanan Developers,1 Project in Vadodara,
